Name,Phone,Email,Purchase Date,Purchase Source,Tickets Purchased,Ticket Type,Festival
Jordan Amy,(866) 555-0164,jordanamy@cirrus.com,9/22/13,Box Office,1,General Admission,
Terence Hone,(423) 555-0164,terencehone@cirrus.com,9/23/13,Box Office,1,General Admission,
Korey Stoughton,(543) 555-0164,koreystoughton@cirrus.com,9/24/13,Box Office,1,General Admission,
Leslie Reddick,(705) 555-0164,lesliereddick@cirrus.com,9/25/13,Box Office,1,General Admission,
Janice Greenbaum,(499) 555-0164,janicegreenbaum@cirrus.com,9/26/13,Box Office,1,General Admission,
Summer Shatzer,(523) 555-0164,summershatzer@cirrus.com,9/27/13,Box Office,2,General Admission,
Lucia Hostetler,(328) 555-0164,luciahostetler@cirrus.com,9/28/13,Box Office,3,General Admission,
Harold Caplan,(973) 555-0164,haroldcaplan@cirrus.com,6/1/13,Box Office,5,General Admission,
Toni Cody,(893) 555-0164,tonicody@cirrus.com,6/2/13,Box Office,2,General Admission,
Todd Such,(334) 555-0164,toddsuch@cirrus.com,6/3/13,Box Office,4,General Admission,
Aaron Mccleery,(485) 555-0164,aaronmccleery@cirrus.com,6/4/13,Box Office,3,General Admission,
Ronny Channell,(867) 555-0164,ronnychannell@cirrus.com,6/5/13,Box Office,3,General Admission,
Paul Ambler,(707) 555-0164,paulambler@cirrus.com,6/6/13,Box Office,3,General Admission,
Ricardo Solano,(678) 555-0164,ricardosolano@cirrus.com,6/7/13,Box Office,1,General Admission,
Ted Ryder,(633) 555-0164,tedryder@cirrus.com,6/8/13,Box Office,2,General Admission,
Carmen Cripe,(762) 555-0164,carmencripe@cirrus.com,6/9/13,Box Office,3,General Admission,
Beth Shuler,(602) 555-0164,bethshuler@cirrus.com,6/10/13,Box Office,4,General Admission,
Rene Dauphin,(503) 555-0164,renedauphin@cirrus.com,6/11/13,Box Office,1,General Admission,
Kai Westrick,(204) 555-0164,kaiwestrick@cirrus.com,6/12/13,Box Office,2,General Admission,
Lana Mccleery,(296) 555-0164,lanamccleery@cirrus.com,6/13/13,Box Office,6,General Admission,
Grant Okamoto,(788) 555-0164,grantokamoto@cirrus.com,6/14/13,Box Office,3,General Admission,
Darci Cavazos,(617) 555-0164,darcicavazos@cirrus.com,6/15/13,Box Office,4,General Admission,
Sondra Lafortune,(471) 555-0164,sondralafortune@cirrus.com,6/16/13,Box Office,3,General Admission,
Maureen Amaral,(313) 555-0164,maureenamaral@cirrus.com,6/17/13,Box Office,3,General Admission,
Jenny Avallone,(611) 555-0164,jennyavallone@cirrus.com,6/18/13,Box Office,3,General Admission,
Alphonso Benninger,(495) 555-0164,alphonsobenninger@cirrus.com,6/19/13,Box Office,2,General Admission,
Kathy Smith,(346) 555-0164,kathysmith@cirrus.com,6/20/13,Box Office,2,General Admission,
Darren Melton,(392) 555-0164,darrenmelton@cirrus.com,6/21/13,Box Office,2,General Admission,
Steve Fetveit,(820) 555-0164,stevefetveit@cirrus.com,6/22/13,Box Office,4,General Admission,
Linda Talbott,(983) 555-0164,lindatalbott@cirrus.com,6/23/13,Box Office,4,General Admission,
Tom Miller,(413) 555-0164,tommiller@cirrus.com,6/24/13,Box Office,1,General Admission,
Todd Monson,(937) 555-0164,toddmonson@cirrus.com,6/25/13,Box Office,1,General Admission,
Mary Conners,(800) 555-0164,maryconners@cirrus.com,6/26/13,Box Office,1,General Admission,
Pat Fanning,(881) 555-0164,patfanning@cirrus.com,6/27/13,Box Office,1,General Admission,
Larry Schmidt,(698) 555-0164,larryschmidt@cirrus.com,6/28/13,Box Office,2,General Admission,
George Makris,(371) 555-0164,georgemakris@cirrus.com,6/29/13,Box Office,3,General Admission,
Scott Odegard,(653) 555-0164,scottodegard@cirrus.com,6/30/13,Box Office,4,General Admission,
George Maclean,(261) 555-0164,georgemaclean@cirrus.com,6/1/13,Box Office,5,General Admission,
Bruce Watkins,631-689-9753,brucewatkins@cirrus.com,6/2/13,Box Office,5,General Admission,
Trevor Cavanagh,(549) 555-0164,trevorcavanagh@cirrus.com,6/3/13,Box Office,1,General Admission,
Jan Perkins,767-413-3223,janperkins@cirrus.com,6/4/13,Box Office,3,General Admission,
Max Vanheel,(688) 555-0164,maxvanheel@cirrus.com,6/5/13,Box Office,2,General Admission,
Tom Propp,(417) 555-0164,tompropp@cirrus.com,6/6/13,Box Office,1,General Admission,
Colton Fatz,(722) 555-0164,coltonfatz@cirrus.com,6/7/13,Box Office,2,General Admission,
Greg Metzger,(616) 555-0164,gregmetzger@cirrus.com,6/8/13,Box Office,4,General Admission,
Penny Lundell,(229) 555-0164,pennylundell@cirrus.com,6/9/13,Box Office,1,General Admission,
Lee Mccue,(502) 555-0164,leemccue@cirrus.com,6/10/13,Official Website,1,General Admission,
Chris Templey,1245896523,ctempley@employnet.com,6/11/13,Official Website,1,General Admission,
Fatima Rencher,(272) 555-0164,fatimarencher@cirrus.com,6/12/13,Official Website,1,General Admission,
Shayla Henke,(406) 555-0164,shaylahenke@cirrus.com,6/13/13,Official Website,6,General Admission,
Lisa Jones,(703) 568-9526,ljones@optos.com,6/14/13,Official Website,4,General Admission,
Carly Kinard,(470) 555-0164,carlykinard@cirrus.com,6/15/13,Official Website,2,General Admission,
Lana Miller,(617) 555-0164,lanamiller@cirrus.com,6/16/13,Official Website,3,General Admission,
Sarah Jeffries,(801) 785-3286,sjeffries@tyconet.com,6/17/13,Official Website,5,General Admission,
Derek Rose,(875) 940-9745,drose@ulyssesnet.com,6/18/13,Official Website,1,General Admission,
Todd Shock,(676) 555-0164,toddshock@cirrus.com,6/19/13,Official Website,1,General Admission,
Rachel Morris,(450) 334-9902,rmorris@netbot.com,6/20/13,Official Website,1,General Admission,
Kenya Deskins,(424) 555-0164,kenyadeskins@cirrus.com,6/21/13,Official Website,1,General Admission,
Roman Tindall,(471) 555-0164,romantindall@cirrus.com,6/22/13,Official Website,1,General Admission,
Becky Jiron,(297) 555-0164,beckyjiron@cirrus.com,6/23/13,Official Website,2,General Admission,
Jeremie Alonso,(845) 555-0164,jeremiealonso@cirrus.com,6/24/13,Official Website,3,General Admission,
Ron Reid,(650) 235-6254,ronreid@opnsrce.com,6/25/13,Official Website,5,General Admission,
Bill Blau,(745) 895-6325,bblau@steamworks.com,6/26/13,3rd Party Ticket Vendor,2,General Admission,
Kory Lincoln,(644) 555-0164,korylincoln@cirrus.com,6/27/13,3rd Party Ticket Vendor,4,General Admission,
Saul Schlenker,(987) 555-0164,saulschlenker@cirrus.com,6/28/13,3rd Party Ticket Vendor,3,General Admission,
Kristin Schueller,(364) 555-0164,kristinschueller@cirrus.com,7/5/13,3rd Party Ticket Vendor,3,General Admission,
Corina Mauro,(468) 555-0164,corinamauro@cirrus.com,7/6/13,3rd Party Ticket Vendor,3,General Admission,
Naomi Moles,(928) 555-0164,naomimoles@cirrus.com,7/7/13,3rd Party Ticket Vendor,1,General Admission,
Nichole Nassar,(203) 555-0164,nicholenassar@cirrus.com,7/8/13,3rd Party Ticket Vendor,2,General Admission,
Dave Montelius,(334) 555-0164,davemontelius@cirrus.com,7/9/13,3rd Party Ticket Vendor,3,General Admission,
Gary Pate,(954) 555-0164,garypate@cirrus.com,7/10/13,3rd Party Ticket Vendor,4,General Admission,
Frank Cross,(340) 555-0164,frankcross@cirrus.com,7/11/13,3rd Party Ticket Vendor,1,General Admission,
Jeff Kriegar,(477) 555-0164,jeffkriegar@cirrus.com,7/12/13,3rd Party Ticket Vendor,2,General Admission,
Ken Salwey,(503) 555-0164,kensalwey@cirrus.com,7/13/13,3rd Party Ticket Vendor,6,General Admission,
Hamid Basirat,875-394-1983,hamidbasirat@cirrus.com,7/14/13,3rd Party Ticket Vendor,3,General Admission,
Ben Petritz,(718) 555-0164,benpetritz@cirrus.com,7/15/13,3rd Party Ticket Vendor,4,General Admission,
Mark Anderson,(804) 555-0164,markanderson@cirrus.com,7/16/13,Official Website,3,General Admission,
George Kewo,(700) 555-0164,georgekewo@cirrus.com,7/17/13,Official Website,3,General Admission,
Ken Bell,(233) 555-0164,kenbell@cirrus.com,7/18/13,Official Website,3,General Admission,
Jack Joseph,(810) 555-0164,jackjoseph@cirrus.com,7/19/13,Official Website,2,General Admission,
Dan Claridge,(651) 555-0164,danclaridge@cirrus.com,7/20/13,Official Website,2,General Admission,
Kim Clausen,(264) 555-0164,kimclausen@cirrus.com,5/1/13,Official Website,2,General Admission,
Tim Arlint,(857) 555-0164,timarlint@cirrus.com,5/2/13,Official Website,4,General Admission,
Wayne Fredrickson,(580) 555-0164,waynefredrickson@cirrus.com,5/3/13,Official Website,4,General Admission,
Maye Head,(535) 555-0164,mayehead@cirrus.com,5/4/13,Official Website,1,General Admission,
Dean Sturz,(360) 555-0164,deansturz@cirrus.com,5/5/13,Official Website,1,General Admission,
Kevin Clark,(500) 555-0164,kevinclark@cirrus.com,5/6/13,Official Website,1,General Admission,
Darlene Hartze,(584) 555-0164,darlenehartze@cirrus.com,5/7/13,Official Website,1,General Admission,
Craig Jardine,(553) 555-0164,craigjardine@cirrus.com,5/8/13,Official Website,2,General Admission,
Larry Poulton,(449) 555-0164,larrypoulton@cirrus.com,5/9/13,Official Website,3,General Admission,
Jim Thompson,(343) 555-0164,jimthompson@cirrus.com,5/10/13,Official Website,4,General Admission,
Chris Munstertiger,(340) 555-0164,chrismunstertiger@cirrus.com,5/11/13,Official Website,5,General Admission,
Jeff Thomas,(706) 555-0164,jeffthomas@cirrus.com,5/12/13,Official Website,5,General Admission,
Steve Boyce,(828) 555-0164,steveboyce@cirrus.com,5/13/13,Official Website,1,General Admission,
Eric Burdette,(722) 555-0164,ericburdette@cirrus.com,5/14/13,Official Website,3,General Admission,
Brian Lossett,(859) 555-0164,brianlossett@cirrus.com,5/15/13,Official Website,2,General Admission,
Dale Blank,(271) 555-0164,daleblank@cirrus.com,5/16/13,Official Website,1,General Admission,
Michael Campbell,(476) 555-0164,michaelcampbell@cirrus.com,5/17/13,Official Website,2,General Admission,
Larry Larry,(646) 555-0164,larrylarry@cirrus.com,5/18/13,Official Website,4,VIP,
Brandon Grissom,(237) 555-0164,brandongrissom@cirrus.com,5/19/13,Official Website,1,VIP,
Kisha Hendrick,(918) 555-0164,kishahendrick@cirrus.com,5/20/13,Official Website,1,VIP,
Jeanine Craddock,(660) 555-0164,jeaninecraddock@cirrus.com,5/21/13,Official Website,1,VIP,
Bree Torbert,(349) 555-0164,breetorbert@cirrus.com,5/22/13,Official Website,1,VIP,
Grace Palumbo,(392) 555-0164,gracepalumbo@cirrus.com,5/23/13,Official Website,6,VIP,
Frankie Fenwick,(561) 555-0164,frankiefenwick@cirrus.com,5/24/13,Official Website,4,VIP,
Demario Quast,(633) 555-0164,demarioquast@cirrus.com,5/25/13,Box Office,2,VIP,
Jackie Pridgen,(521) 555-0164,jackiepridgen@cirrus.com,5/26/13,Box Office,3,VIP,
Gail Kaczor,(318) 555-0164,gailkaczor@cirrus.com,5/27/13,Box Office,5,VIP,
Guy Bohan,(334) 555-0164,guybohan@cirrus.com,5/28/13,Box Office,1,VIP,
Marci Viviano,270-855-0896,marciviviano@cirrus.com,5/29/13,Box Office,1,VIP,
Bennie Caudle,(728) 555-0164,benniecaudle@cirrus.com,5/30/13,Box Office,1,VIP,
Vera Jarrard,(741) 555-0164,verajarrard@cirrus.com,5/31/13,Box Office,1,VIP,
Gloria Montz,(976) 555-0164,gloriamontz@cirrus.com,6/1/13,Box Office,1,VIP,
Bobby Lentz,(214) 555-0164,bobbylentz@cirrus.com,6/2/13,Box Office,2,VIP,
Davis Tirado,(391) 555-0164,davistirado@cirrus.com,6/3/13,Box Office,3,VIP,
Jeff Blay,(408) 652-3258,jblay@toontown.com,6/4/13,Box Office,5,VIP,
Todd Janzen,(732) 555-0164,toddjanzen@cirrus.com,6/5/13,Box Office,2,VIP,
Smith Jack,(468) 555-0164,smithjack@cirrus.com,6/6/13,Facebook,4,VIP,
John Heilemann,(457) 555-0164,johnheilemann@cirrus.com,10/1/13,Facebook,3,VIP,
Cristin Hwang,806-615-1850,cristinhwang@cirrus.com,10/2/13,Facebook,3,VIP,
Kevin Walsh,(662) 555-0164,kevinwalsh@cirrus.com,10/3/13,Facebook,3,VIP,
Kim Crespo,(751) 555-0164,kimcrespo@cirrus.com,10/4/13,Facebook,1,VIP,
Edwin Louden,(659) 555-0164,edwinlouden@cirrus.com,10/5/13,Facebook,2,VIP,
Margarita Hanes,(767) 555-0164,margaritahanes@cirrus.com,10/6/13,Facebook,3,VIP,
Maura Angel,(692) 555-0164,mauraangel@cirrus.com,10/7/13,Facebook,4,VIP,
Kirstin Woolum,(711) 555-0164,kirstinwoolum@cirrus.com,10/8/13,Facebook,1,VIP,
Patrick Ridout,(462) 555-0164,patrickridout@cirrus.com,10/9/13,Facebook,2,VIP,
Bree Reitz,453-788-4285,breereitz@cirrus.com,10/10/13,Facebook,6,VIP,
Greg Ryles,(558) 555-0164,gregryles@cirrus.com,10/11/13,Facebook,3,VIP,
Zachariah Barreto,(611) 555-0164,zachariahbarreto@cirrus.com,10/12/13,Facebook,4,VIP,
Nancy Bailey,(245) 555-0164,nancybailey@cirrus.com,10/13/13,Facebook,3,VIP,
Matt Contraras,(637) 555-0164,mattcontraras@cirrus.com,6/1/13,Facebook,3,VIP,
Pam Reynolds,(326) 555-0164,pamreynolds@cirrus.com,6/2/13,Facebook,3,VIP,
Andrea Wilcott,(818) 234-0900,awilcott@dreamfactory.com,6/3/13,Facebook,2,VIP,
Catherine Goodell,(396) 555-0164,catherinegoodell@cirrus.com,6/4/13,Facebook,2,VIP,
Ryan Giggs,(415) 678-9402,rgiggs@havenent.com,6/5/13,Facebook,2,VIP,
Jim Krauss,(363) 555-0164,jimkrauss@cirrus.com,6/6/13,Facebook,4,VIP,
Laura Robinson,(450) 555-0164,laurarobinson@cirrus.com,6/7/13,Facebook,4,VIP,
David Homme,759-255-1555,davidhomme@cirrus.com,6/8/13,Facebook,1,VIP,
Jacques Bettis,(395) 555-0164,jacquesbettis@cirrus.com,6/9/13,Facebook,1,VIP,
Jeff Rogers,(422) 555-0164,jeffrogers@cirrus.com,6/10/13,Facebook,1,VIP,
Chris Rogers,(631) 555-0164,chrisrogers@cirrus.com,6/11/13,Facebook,1,VIP,
Reggie Jackson,(484) 555-0164,reggiejackson@cirrus.com,6/12/13,Facebook,2,VIP,
Smith Wendy,(220) 555-0164,smithwendy@cirrus.com,9/1/13,Facebook,3,VIP,
Norwood Wendy,(424) 555-0164,norwoodwendy@cirrus.com,9/2/13,Facebook,4,VIP,
John Paxton,(892) 555-0164,johnpaxton@cirrus.com,9/3/13,Facebook,5,VIP,
Keith Lopez,214-503-6471,lizsmyth@cirrus.com,9/4/13,Facebook,5,VIP,
